acheteur_id,acheteur_nom,titulaire_id,titulaire_nom,montant_count,montant_sum,montant_mean,montant_min,montant_max,offresRecues_mean,offresRecues_min,offresRecues_max,dateNotification_min,dateNotification_max
13000190200068,nan,42856921400029,GTM GENIE CIVIL ET SERVICES,1,4315758.79,4315758.79,4315758.79,4315758.79,1.0,1,1,2024-12-19,2024-12-19
13000190200241,nan,44380337400018,SARL LA FAMILLE BTP,1,247100.0,247100.0,247100.0,247100.0,1.0,1,1,2024-10-31,2024-10-31
13000190200274,nan,32914182400014,AMENAGEMENT ET FINITION DE L OEUVRE,1,209507.16,209507.16,209507.16,209507.16,1.0,1,1,2024-12-19,2024-12-19
13000190200274,nan,44775408600042,GUINTOLI,1,2677135.59,2677135.59,2677135.59,2677135.59,1.0,1,1,2024-12-17,2024-12-17
13000190200274,nan,48006030000047,ESCATECH,1,86788.0,86788.0,86788.0,86788.0,1.0,1,1,2024-10-23,2024-10-23
13000190200290,nan,06631123400026,ALIZE METAL,1,342655.0,342655.0,342655.0,342655.0,3.0,3,3,2024-08-11,2024-08-11
13000190200308,nan,52845802900022,R.T.B. 56 ENTREPRISE GENERALE,1,6839387.32,6839387.32,6839387.32,6839387.32,4.0,4,4,2024-07-09,2024-07-09
13000190200332,nan,32933888301532,COLAS FRANCE (ETABLISSEMENT DE TOULON),1,1089770.1,1089770.1,1089770.1,1089770.1,12.0,12,12,2024-10-31,2024-10-31
13000190200373,nan,73162031600422,BOUYGUES BATIMENT SUD-EST,1,5009334.46,5009334.46,5009334.46,5009334.46,1.0,1,1,2024-09-03,2024-09-03
13001779100018,VOIES NAVIGABLES DE FRANCE,31642025600141,nan,1,22473.0,22473.0,22473.0,22473.0,3.0,3,3,2024-12-05,2024-12-05
13002793100018,CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION OCCITANIE,79526081900037,DELTAMOD,1,429970.0,429970.0,429970.0,429970.0,1.0,1,1,2024-10-02,2024-10-02
1545063800117,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE HABELLIS,01545141200025,EIFFAGE CONSTRUCTION BOURGOGNE FRANCHE COMTE (EIFFAGE CONSTRUCTION COTE D'OR),1,6170000.0,6170000.0,6170000.0,6170000.0,4.0,4,4,2024-12-23,2024-12-23
