uid,id,type,codeCPV,acheteur_id,acheteur_nom,titulaire_id,titulaire_nom,montant,dateNotification,procedure,dureeMois,offresRecues,acheteur_departement_code,titulaire_departement_code,acheteur_region_code,titulaire_region_code
2000625860015720241300104,20241300104,Travaux,45214200,20006258600157,COMMUNE DE FILLIERE (MAIRIE),42199758600035,ALU CONCEPT HABITAT,61100.0,2025-01-01,Procédure adaptée,12.0,1,74,73,84.0,84.0
20006258600157202413008,202413008,Travaux,45214200,20006258600157,COMMUNE DE FILLIERE (MAIRIE),83380264800026,ELEC ET COMPAGNIE (DURET SERVICES),65900.0,2025-01-01,Procédure adaptée,12.0,1,74,74,84.0,84.0
200062586001572024130081,2024130081,Travaux,45214200,20006258600157,COMMUNE DE FILLIERE (MAIRIE),83380264800026,ELEC ET COMPAGNIE (DURET SERVICES),65900.0,2025-01-01,Procédure adaptée,12.0,1,74,74,84.0,84.0
20008945600012202424017,202424017,Travaux,45212000,20008945600012,COMMUNAUTE D'AGGLOMERATION SEINE EURE,51384363100039,DURAND FILS,91109.96,2025-01-01,Procédure adaptée,12.0,4,27,76,28.0,28.0
2163030080001720243001,20243001,Travaux,45212221,21630300800017,COMMUNE DE RIOM (MAIRIE),31797591000447,EUROVIA DROME ARDECHE LOIRE AUVERGNE (RENON),79000.0,2025-01-01,Procédure adaptée,1.0,2,63,63,84.0,84.0
219722170000122023M23_81729,2023M23_81729,Travaux,45214200,21972217000012,COMMUNE DU MARIN (MAIRIE),80374737700015,ENDG (DEFICLIM),108091.0,2025-01-01,Appel d'offres ouvert,31.0,2,972,972,2.0,2.0
77918639400028202,202,Travaux,45211000,77918639400028,OFFICE PUBLIC DE L'HABITAT ET DE L'IMMOBILIER SOCIAL,93134236400011,B2C ENERGIES,990623.12,2025-01-01,Procédure adaptée,22.0,3,63,63,84.0,84.0
20006792400015202309L19,202309L19,Travaux,45214200,20006792400015,CC DU CANTON D'ERSTEIN,38875870800050,EIFFAGE ENERGIE SYSTEMES - INFRASTRUCTURES EST,133622.01,2024-12-31,Procédure adaptée,18.0,4,67,68,44.0,44.0
20006792400015202309L19,202309L19,Travaux,45214200,20006792400015,CC DU CANTON D'ERSTEIN,93128602500024,EIFFAGE ENERGIE SYSTEMES - INDUSTRIE TERTIAIRE SUD ALSACE,133622.01,2024-12-31,Procédure adaptée,18.0,4,67,68,44.0,44.0
2104020950001720242024CISL01,20242024CISL01,Travaux,45216120,21040209500017,COMMUNE DE SISTERON (MAIRIE),00735020000049,ENTREPRISE MINETTO,421879.07,2024-12-31,Procédure adaptée,16.0,4,04,04,93.0,93.0
2104020950001720242024CISL01,20242024CISL01,Travaux,45216120,21040209500017,COMMUNE DE SISTERON (MAIRIE),34907675200014,SOCIETE ROUTIERE DU MIDI,421879.07,2024-12-31,Procédure adaptée,16.0,4,04,05,93.0,93.0
21050040100018202403,202403,Travaux,45212361,21050040100018,COMMUNE DE CHORGES (MAIRIE),06380227600038,"VIVIAN ET CIE (VIVIAN & CIE, LES COMPAGNONS DE CASTELLANE)",343159.68,2024-12-31,Procédure adaptée,9.0,2,05,13,93.0,93.0
21050040100018202403,202403,Travaux,45212361,21050040100018,COMMUNE DE CHORGES (MAIRIE),41458864000048,LES COMPAGNONS DE CASTELLANE,343159.68,2024-12-31,Procédure adaptée,9.0,2,05,13,93.0,93.0
21260088600015202424_3_001,202424_3_001,Travaux,45212221,21260088600015,COMMUNE DE CHATUZANGE-LE-GOUBET (MAIRIE),49262795500031,WISE RIDE,146796.0,2024-12-31,Procédure adaptée,2.0,4,26,38,84.0,84.0
212801641000112024202414,2024202414,Travaux,45210000,21280164100011,COMMUNE DE FRESNAY L EVEQUE (MAIRIE),48242216900011,S2ME,81063.49,2024-12-31,Procédure adaptée,12.0,2,28,28,24.0,24.0
214202756000182024TVX002B2,2024TVX002B2,Travaux,45212000,21420275600018,COMMUNE DE SAINT PRIEST EN JAREZ (MAIRIE),51944339400019,LAQUET TENNIS (VERIDIS),1054197.1,2024-12-31,Procédure adaptée,7.0,1,42,26,84.0,84.0
214202756000182024TVX002B2,2024TVX002B2,Travaux,45212000,21420275600018,COMMUNE DE SAINT PRIEST EN JAREZ (MAIRIE),31420941200019,LAQUET (ALAIN LAQUET),1054197.1,2024-12-31,Procédure adaptée,7.0,1,42,26,84.0,84.0
215401597000122024-0125,2024-0125,Travaux,45212224,21540159700012,COMMUNE DE DOMBASLE SUR MEURTHE (MAIRIE),47889048600044,SDEL LUMIERE (CITEOS-SET),59995.3,2024-12-31,Procédure adaptée,1.0,5,54,54,44.0,44.0
21780586000012202409A,202409A,Travaux,45212221,21780586000012,COMMUNE DE SARTROUVILLE (MAIRIE),50880011700030,DPN RENOVATION,61066.0,2024-12-31,Procédure adaptée,5.0,2,78,95,11.0,11.0
219722170000122023M23_81720,2023M23_81720,Travaux,45214200,21972217000012,COMMUNE DU MARIN (MAIRIE),49387926600036,CARAIBES REVETEMENTS (CAREV SARL),122185.85,2024-12-31,Appel d'offres ouvert,32.0,1,972,972,2.0,2.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,41847465600018,E.TECH BOIS,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,04,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,37904115500043,MARIE PARENTE,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,83,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,33394020300032,SOC DONAT DE BATIMENT,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,83,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,47903141100032,EC2A,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,06,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,37767379300040,SOGITEC,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,13,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,38991349200044,ALTERGIS INGENIERIE,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,83,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,35169483100022,LES CHARPENTIERS DU HAUT VAR,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,83,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,39019996600032,BBG ARCHITECTES ASSOCIES,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,83,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,39262452400048,NICOLAS GUILLEN,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,83,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,52330675100018,EFFIDOMUS,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,83,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,38991349200036,ALTERGIS INGENIERIE,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,13,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,30227787600041,INGENIERIE 84,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,84,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,41351996800031,SNAPSE (S.N.A.P.S.E),10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,83,93.0,93.0
22830001800113202220190390,202220190390,Travaux,45212222,22830001800113,DEPARTEMENT DU VAR,30250648000060,LASA LABORATOIRE D APPLICATIONS DES SCIENCES ACOUSTIQUES,10132060.16,2024-12-31,Dialogue compétitif,48.0,6,83,13,93.0,93.0
248500258000462024202428004,2024202428004,Travaux,45212212,24850025800046,COMMUNAUTE DE COMMUNES OCEAN MARAIS DE MONTS,35380029500035,NAVIC,162264.0,2024-12-31,Appel d'offres ouvert,14.0,3,85,74,52.0,84.0
458204963000292024-109-1,2024-109-1,Travaux,45211000,45820496300029,DOMOFRANCE,44805850300054,CONSTRUCTION DIRIK,421560.0,2024-12-31,Procédure adaptée,12.0,1,33,33,75.0,75.0
458204963000292024-109-10,2024-109-10,Travaux,45211100,45820496300029,DOMOFRANCE,45228301300020,ELECTRICITE DISTRIBUTION DOMESTIQUE,324122.0,2024-12-31,Procédure adaptée,12.0,2,33,33,75.0,75.0
458204963000292024-109-2,2024-109-2,Travaux,45211000,45820496300029,DOMOFRANCE,33486087100022,ROQUE BOIS,46974.0,2024-12-31,Procédure adaptée,12.0,1,33,33,75.0,75.0
458204963000292024-109-3,2024-109-3,Travaux,45211000,45820496300029,DOMOFRANCE,33486087100022,ROQUE BOIS,39456.0,2024-12-31,Procédure adaptée,12.0,2,33,33,75.0,75.0
458204963000292024-109-4,2024-109-4,Travaux,45211000,45820496300029,DOMOFRANCE,31476572800048,SEGONZAC SAS,107514.0,2024-12-31,Procédure adaptée,12.0,3,33,33,75.0,75.0
458204963000292024-109-5,2024-109-5,Travaux,45211000,45820496300029,DOMOFRANCE,91208443100010,METALLERIE THOMAS,48603.0,2024-12-31,Procédure adaptée,12.0,2,33,33,75.0,75.0
458204963000292024-109-6,2024-109-6,Travaux,45211000,45820496300029,DOMOFRANCE,33486087100022,ROQUE BOIS,70727.0,2024-12-31,Procédure adaptée,12.0,1,33,33,75.0,75.0
458204963000292024-109-7,2024-109-7,Travaux,45211000,45820496300029,DOMOFRANCE,79466943200021,FOS REVETEMENT SOLS ET MURS (FRSM),60425.0,2024-12-31,Procédure adaptée,12.0,4,33,33,75.0,75.0
458204963000292024-109-8,2024-109-8,Travaux,45211000,45820496300029,DOMOFRANCE,79466943200021,FOS REVETEMENT SOLS ET MURS (FRSM),78354.0,2024-12-31,Procédure adaptée,12.0,5,33,33,75.0,75.0
458204963000292024-109-9,2024-109-9,Travaux,45211000,45820496300029,DOMOFRANCE,88487405800024,HEATER SOLUTION,306218.0,2024-12-31,Procédure adaptée,12.0,1,33,33,75.0,75.0
458204963000292024-41-01,2024-41-01,Travaux,45211000,45820496300029,DOMOFRANCE,50369828400026,TRAVAUX PUBLICS 33,1009400.0,2024-12-31,Appel d'offres ouvert,18.0,2,33,33,75.0,75.0
458204963000292024-41-02,2024-41-02,Travaux,45211000,45820496300029,DOMOFRANCE,42025480700027,GENERALE DE BATIMENT MIDI PYRENEES,11875200.0,2024-12-31,Appel d'offres ouvert,18.0,3,33,31,75.0,76.0
458204963000292024-41-03,2024-41-03,Travaux,45211000,45820496300029,DOMOFRANCE,30470925600024,SOC LAMECOL,1190000.0,2024-12-31,Appel d'offres ouvert,18.0,1,33,33,75.0,75.0
