titulaire_id,community_id,community_size,supplier_degree_proj,supplier_wdegree_proj
42856921400029,0,1,0,0
44380337400018,1,1,0,0
48006030000047,2,3,2,2
32914182400014,2,3,2,2
44775408600042,2,3,2,2
06631123400026,3,1,0,0
52845802900022,4,1,0,0
31642025600141,5,1,0,0
79526081900037,6,1,0,0
01545141200025,7,1,0,0
34106498800023,8,1,0,0
56207779200082,9,2,1,1
32088927200037,9,2,1,1
73162031600380,10,1,0,0
44176834800035,11,37,7,7
42395215900022,11,37,14,14
62722004900522,11,37,7,7
41235095100023,11,37,19,20
48762673100037,11,37,7,7
41833597200042,11,37,10,10
48792564600019,11,37,7,7
31800949500017,11,37,10,10
33453759400015,11,37,6,6
44005586101724,11,37,7,7
32658017200020,11,37,14,14
41310893700025,11,37,4,4
40515495600040,11,37,14,14
51533977800026,11,37,7,7
34788694700014,11,37,14,14
85135754100016,11,37,10,10
87888388300034,11,37,14,14
40387411800058,11,37,17,17
50352614700031,11,37,14,14
31184539000013,11,37,14,14
48519755200352,11,37,14,14
79067435200014,11,37,6,6
79006535300019,11,37,14,14
88066008900025,11,37,14,14
39863077200026,11,37,6,6
32763035600159,11,37,10,10
06720032900042,11,37,10,10
43748921400043,11,37,14,14
85480074501422,11,37,10,10
33802841800055,11,37,4,4
32340186900017,11,37,29,30
41479929600259,11,37,10,10
50951756100015,11,37,4,4
41350147900013,11,37,14,14
68204083702008,11,37,10,10
35268401300043,11,37,14,14
32657893700020,11,37,7,7
83358512800022,12,1,0,0
02408218200023,13,1,0,0
06630527700015,14,3,2,2
09938838100016,14,3,2,2
02406496600013,14,3,2,2
74997091900017,15,14,13,13
50487736600022,15,14,13,13
81204605000017,15,14,13,13
02406754800024,15,14,13,13
90169393700012,15,14,13,13
92141235900017,15,14,13,13
79895464000016,15,14,13,13
06631305700011,15,14,13,13
44167958600012,15,14,13,13
89961040600014,15,14,13,13
82214275800017,15,14,13,13
81942022500024,15,14,13,13
53060907200018,15,14,13,13
09413023400019,15,14,13,13
41433522400021,16,1,0,0
50175631600029,17,5,4,4
52079860400010,17,5,4,4
09938292100023,17,5,4,4
09412947500029,17,5,4,4
82507921300013,17,5,4,4
49183903100045,18,1,0,0
32563411100026,19,1,0,0
47898141800013,20,2,1,1
38104777800034,20,2,1,1
41228073720375,21,2,1,1
92097939000019,21,2,1,1
39154369100128,22,1,0,0
31844625900034,23,2,1,1
89853406000014,23,2,1,1
45352461300024,24,7,7,7
30940923300074,24,7,7,7
69378006600033,24,7,7,7
96850440700030,24,7,7,7
49026553500040,24,7,7,7
49893012200029,24,7,7,7
90186203700016,24,7,7,7
49491224900013,25,2,1,1
72598019700018,25,2,1,1
35372076600016,26,1,0,0
34417184800049,27,1,0,0
49470399400033,28,2,1,1
32933888301466,28,2,1,1
38907426100022,29,1,0,0
92266912200017,30,1,0,0
44408134300014,31,1,0,0
47904886000023,32,1,0,0
77559249600084,33,2,1,1
53185832200013,33,2,1,1
31554847900023,34,3,2,2
48063901200024,34,3,2,2
53828492800024,34,3,2,2
42254297700018,35,1,0,0
34435244800478,36,1,0,0
50069631500059,37,28,24,24
79314458500023,37,28,7,7
35371092400039,37,28,24,24
30495215300027,37,28,24,24
49199829000010,37,28,24,24
80090233000037,37,28,30,31
81298294000015,37,28,24,24
49407204400030,37,28,24,24
38087127700030,37,28,7,7
39882711300406,37,28,24,24
32634374600029,37,28,30,31
44955844400070,37,28,28,28
06620112000848,37,28,24,24
40172040400011,37,28,24,24
57378082200157,37,28,24,24
52967678500023,37,28,24,24
87818513100025,37,28,7,7
47906684700019,37,28,24,24
32137540400027,37,28,24,24
88137919200019,37,28,24,24
57378082200330,37,28,24,24
44110010400039,37,28,24,24
41357275100027,37,28,24,24
89000628100020,37,28,24,24
68378012600051,37,28,24,24
96750191700033,37,28,24,24
72658005300023,37,28,24,24
78840984500039,37,28,7,7
82502875600013,38,2,1,1
49226842000022,38,2,1,1
39996090500020,39,2,1,1
81796044600018,39,2,1,1
44494270000022,40,1,0,0
83950531000038,41,4,3,3
82865202400013,41,4,3,3
44898586100021,41,4,3,3
81890738800016,41,4,3,3
38037117900025,42,2,1,1
42336296100017,42,2,1,1
50771525800038,43,1,0,0
41028242000034,44,1,0,0
39078419700027,45,1,0,0
31023216000146,46,2,1,1
50445625200023,46,2,1,1
79204861300030,47,1,0,0
50347374600017,48,1,0,0
32445457800034,49,1,0,0
32916356200021,50,2,1,1
53434422100013,50,2,1,1
34021023600030,51,1,0,0
53855107800032,52,8,7,7
38837281500018,52,8,7,7
34032479700018,52,8,7,7
40985159900335,52,8,7,7
57220154900217,52,8,7,7
41239570900352,52,8,7,7
37806400000029,52,8,7,7
34922458400046,52,8,7,7
33164525900010,53,1,0,0
54210780003935,54,112,55,55
82372344000025,54,112,12,12
41797626300018,54,112,6,6
35009370400657,54,112,35,35
52331294000035,54,112,23,23
48511440900025,54,112,6,6
49023289900040,54,112,11,11
51823462000012,54,112,21,21
74665001900027,54,112,21,21
33125808700021,54,112,14,14
30970827900109,54,112,21,21
83905501900021,54,112,14,14
65980373800049,54,112,12,12
35272072600020,54,112,6,6
34070898100022,54,112,21,21
89047761500029,54,112,12,12
78864578600021,54,112,23,23
38220946800018,54,112,11,11
44815298300038,54,112,14,14
51306386700065,54,112,15,15
32344748200072,54,112,15,15
44917620500036,54,112,15,15
45205541100048,54,112,7,7
35268305600043,54,112,15,15
37770055400019,54,112,6,6
39189456500038,54,112,15,15
39876221100397,54,112,14,14
50156824000011,54,112,11,11
79219347600019,54,112,7,7
40255327500023,54,112,6,6
34924704900027,54,112,6,6
43024385700116,54,112,12,12
41368792200034,54,112,12,12
34831006100034,54,112,21,21
51778168800018,54,112,8,8
80877978900037,54,112,9,9
38151586500040,54,112,6,6
33298785800088,54,112,15,15
45168041700032,54,112,2,2
43047461900052,54,112,11,11
67820255700040,54,112,18,18
83117836300022,54,112,7,7
84489454300033,54,112,8,8
78308444500023,54,112,15,15
41777943600043,54,112,21,21
34266836500022,54,112,17,17
48229827000042,54,112,15,15
80150093500011,54,112,2,2
40094570500046,54,112,14,14
44361567900026,54,112,11,11
81881473300015,54,112,19,19
52885462300022,54,112,11,11
39436621500041,54,112,18,18
31642056100060,54,112,21,21
51743472600033,54,112,2,2
50923382100032,54,112,11,11
33207639700022,54,112,1,1
47785409500023,54,112,22,22
54950120300091,54,112,15,15
95130456700013,54,112,14,14
39465041000035,54,112,14,14
38117811000031,54,112,1,1
78368334500046,54,112,15,15
49004309800055,54,112,11,11
81518863600014,54,112,8,8
31789665200185,54,112,21,21
85111436300035,54,112,11,11
82771969100012,54,112,8,8
33029605400035,54,112,11,11
51434383900031,54,112,8,8
49309974100040,54,112,8,8
50772018300056,54,112,12,12
44987711700019,54,112,7,7
52997567400043,54,112,15,15
89332145500014,54,112,21,21
37988219400028,54,112,11,11
33960966100931,54,112,14,14
43390083400121,54,112,8,8
81822773800015,54,112,6,6
43890296700019,54,112,15,15
48845896900059,54,112,1,1
82138691900038,54,112,11,11
83217863600029,54,112,11,11
48288684300044,54,112,21,21
44515582300021,54,112,21,21
32307786700212,54,112,21,21
33777265100028,54,112,21,21
50933342300010,54,112,11,11
79234909400039,54,112,14,14
48940507600071,54,112,12,12
39480476900047,54,112,6,6
33237770400082,54,112,15,15
53064820300012,54,112,6,6
53529964800027,54,112,21,21
